,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Gallaecimonadaceae,Gallaecimonas,xiamenensis
ASV_2,Bacteria,Pseudomonadota,Alphaproteobacteria,Zavarziniales,Zavarziniaceae,Zavarzinia,compransoris
ASV_3,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
ASV_4,Bacteria,Candidatus Kapabacteria,Kapabacteria,Kapabacteriales,NA,NA,NA
ASV_5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,NA
ASV_6,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,NA
ASV_7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,NA
ASV_8,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Gemmobacter,lanyuensis
ASV_9,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,thiooxidans
ASV_10,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Trichlorobacter,NA
ASV_11,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
ASV_12,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,C39,NA
ASV_13,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
ASV_14,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV_15,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Gemmobacter,lanyuensis
ASV_16,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Rhodocyclus,NA
ASV_17,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,NA
ASV_18,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ASV_19,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Idiomarinaceae,Pseudidiomarina,NA
ASV_20,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,NA
ASV_21,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,thiooxidans
ASV_22,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,C39,NA
ASV_23,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus,influenzae
ASV_24,Bacteria,Candidatus Kapabacteria,Kapabacteria,Kapabacteriales,NA,NA,NA
ASV_25,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,naphthae
ASV_26,Bacteria,Pseudomonadota,Gammaproteobacteria,Salinisphaerales,Nevskiaceae,Solimonas,NA
ASV_27,Bacteria,Candidatus Kapabacteria,Kapabacteria,Kapabacteriales,NA,NA,NA
ASV_28,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Verrucomicrobiaceae,Brevifollis,NA
ASV_29,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,C39,NA
ASV_30,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,NA,NA
ASV_31,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,NA
ASV_32,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,naphthae
ASV_33,Bacteria,Pseudomonadota,Alphaproteobacteria,Zavarziniales,Zavarziniaceae,Zavarzinia,compransoris
ASV_34,Bacteria,Pseudomonadota,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,NA
ASV_35,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Tolumonas,NA
ASV_36,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,C39,NA
ASV_37,Bacteria,Pseudomonadota,Alphaproteobacteria,Zavarziniales,Zavarziniaceae,Zavarzinia,compransoris
ASV_38,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,C39,NA
ASV_39,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Saccharedens,NA
ASV_40,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Rhodocyclus,NA
ASV_41,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,211ds20,NA,NA
ASV_42,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,sputorum
ASV_43,Bacteria,Pseudomonadota,Gammaproteobacteria,Salinisphaerales,Nevskiaceae,Solimonas,NA
